ID	EH1516A	EH1516C	EH1516D	EH217A	EH217C	EH217D
"101188"	1	2	0	4	0	3
"101203"	318	208	84	92	106	71
"101205"	0	0	0	1	1	0
"101216"	7	5	4	5	5	6
"101227"	59	42	70	333	390	322
"101229"	18	82	56	443	720	509
"101233"	15	22	54	103	137	117
"101236"	278	106	79	181	286	147
"101239"	0	1	0	139	135	82
"101242"	129	89	127	254	407	288
"101254"	242	158	161	102	87	92
"101257"	16	7	15	65	50	88
"101262"	25	4	29	37	54	46
"101278"	54	36	44	42	69	52
"101283"	0	0	0	21	23	44
"101287"	6	19	11	14	32	14
"101294"	236	161	217	686	740	633
"101295"	40	98	115	589	706	495
"101299"	70	133	266	138	203	158
"101304"	0	0	0	0	0	0
"101315"	129	47	60	167	124	203
"101317"	11	34	61	33	19	81
"101338"	167	92	226	158	241	170
"101345"	15	15	17	86	125	88
"101352"	25	146	119	25	62	437
"101368"	88	80	141	0	2	1
"101378"	2	1	4	229	272	275
"101380"	22	37	80	45	39	132
"101388"	0	0	0	0	1	0
"101397"	282	121	280	230	384	215
"101399"	8	3	4	87	56	108
"101419"	2	1	4	1	7	13
"101420"	20	13	26	117	160	65
"101438"	7	16	33	287	187	126
"101445"	126	218	212	118	265	224
"101448"	15	25	42	112	197	138
"101455"	27	9	29	1353	1001	664
"101464"	0	0	0	0	0	0
"101477"	124	50	40	291	687	344
"101482"	59	17	23	45	116	66
"101488"	41	31	86	2	12	9
"101489"	323	579	446	646	889	764
"101496"	4	6	5	13	37	24
"101506"	1	0	0	0	1	0
"101509"	55	56	278	832	1574	1053
"101516"	168	89	30	339	371	692
"101528"	27	2	8	30	79	70
"101535"	686	126	62	352	248	150
"101539"	73	23	44	115	117	78
"101543"	46	35	32	2	5	2
"101557"	0	1	0	3	0	2
"101558"	0	0	0	63	40	50
"101567"	198	55	138	0	1	0
"101568"	62	58	52	107	224	139
"101569"	40	131	177	195	300	260
"101573"	1	2	2	146	129	71
"101578"	16	23	23	1	1	0
"101580"	8	3	0	72	130	145
"101584"	9	21	26	37	71	66
"101585"	1720	1948	1325	5697	5680	3498
"101599"	242	94	88	240	126	73
"101600"	696	540	290	0	2	0
"101602"	310	327	181	64	63	36
"101622"	991	12	1	201	69	36
"101628"	283	74	57	66	129	75
"101632"	28	20	25	1	4	3
"101634"	33	33	54	141	198	145
"101649"	24	11	12	10	24	19
"101666"	118	91	177	293	411	431
"101680"	0	1	0	5	9	4
"101700"	0	0	0	69	93	101
"101709"	38	3	10	60	36	77
"101714"	19	20	45	69	75	66
"101715"	7	22	47	157	325	281
"101728"	635	69	60	85	68	22
"101732"	397	105	96	63	68	49
"101734"	58	16	44	90	167	136
"101736"	95	57	130	622	495	678
"101738"	0	0	1	0	0	0
"101743"	86	52	114	584	536	579
"101745"	11	8	6	109	152	126
"101753"	45	15	21	17	18	18
"101756"	0	0	0	0	0	0
"101759"	287	491	266	370	841	690
"101764"	0	0	0	0	0	0
"101766"	0	0	0	10	10	9
"101776"	55	158	298	135	225	174
"101777"	582	222	130	80	102	76
