,x
640,253606
641,202967
642,63754
643,63623
644,55357
645,63753
646,203117
647,203129
648,63749
649,203209
650,203289
651,434428
652,434435
653,203346
654,314459
655,232363
656,232395
657,113071
658,253639
659,365242
660,442456
661,442458
662,468343
663,456534
664,232826
665,232837
666,232850
667,442524
668,113318
669,232996
670,468412
671,233026
672,55438
673,233049
674,113376
675,113377
676,442574
677,253772
678,233158
679,253776
680,462882
681,462891
682,41514
683,434484
684,462903
685,426762
686,462907
687,99487
688,63835
689,203522
690,203536
691,99606
692,99609
693,203661
694,233265
695,456669
696,365614
697,113513
698,456684
699,113541
700,460699
701,113553
702,233542
703,233657
704,113643
705,233701
706,233729
707,233730
708,442728
709,113675
710,442730
711,558383
712,113680
713,253914
714,442741
715,233772
716,468537
717,233810
718,233823
719,113726
720,113738
721,442764
722,233967
723,365886
724,424058
725,203689
726,421172
727,99664
728,203893
729,64017
730,203922
731,203957
732,353287
733,463031
734,449891
735,353311
736,426843
737,449901
738,463052
739,434717
740,99823
741,456831
742,365960
743,123255
744,113911
745,234400
746,456895
747,234566
748,234580
749,234588
750,114060
751,442908
752,456932
753,418536
754,123290
755,442926
756,114102
757,114109
758,234696
759,114115
760,234781
761,114156
762,204212
763,99883
764,426881
765,99894
766,449972
767,353414
768,434769
769,99950
770,204355
771,204365
772,434800
773,204384
774,450016
775,204424
776,204434
777,99993
778,204441
779,204443
780,353495
781,463135
782,450022
783,100004
784,413815
785,42351
786,204471
787,204480
788,434827
789,204493
790,64224
791,463142
792,426917
793,463144
794,309909
795,58004
796,450031
797,450032
798,450035
799,234881
800,460714
801,114270
802,442986
803,558042
804,457010
805,235047
806,235048
807,442999
808,443002
809,73160
810,443003
811,443014
812,443019
813,235093
814,73174
815,468747
816,443025
817,418599
818,443029
819,235119
820,235123
821,114325
822,73180
823,114327
824,317792
825,443060
826,204548
827,204549
828,64305
829,204645
830,204794
831,204888
832,235470
833,235900
834,443222
835,457202
836,415574
837,100277
838,100287
839,100297
840,450178
841,310012
842,100360
843,205252
844,205253
845,443269
846,366747
847,236144
848,236246
849,366796
850,236344
851,55835
852,236472
853,236474
854,236515
855,457314
856,254423
857,114995
858,236588
859,468977
860,457323
861,468985
862,254438
863,205325
864,450255
865,205379
866,205390
867,435048
868,205393
869,205394
870,353871
871,463324
872,463325
873,64566
874,205413
875,205414
876,205428
877,353880
878,450269
879,205433
880,205434
881,205436
882,205443
883,64505
884,205445
885,463335
886,100487
887,55070
888,205453
889,205456
890,100491
891,310078
892,427005
893,205469
894,205470
895,100530
896,463348
897,55989
898,450295
899,100536
900,100538
901,205555
902,463352
903,435081
904,100548
905,205572
906,205573
907,450300
908,205620
909,435108
910,100604
911,427030
912,435115
913,435118
